ITEM,n_obs,intercepto,coef,r2,total_done_mean,delta_tempo_mean
110765,12,-524.3584905660375,375.89622641509425,0.9402709654677169,2.1666666666666665,290.0833333333333
102851,15,-123.25925925925924,273.18518518518516,0.2978940136617233,3.2,750.9333333333333
111780,13,-442.23502304147445,232.25115207373267,0.6961108397767398,3.6923076923076925,415.3076923076923
111779,18,-215.74516129032241,231.07419354838706,0.3859562764928651,2.5555555555555554,374.77777777777777
160050,16,170.446540880503,167.93710691823904,0.1935171089253761,3.125,695.25
141369,12,-34.20000000000033,140.4311111111112,0.7812762267966398,3.75,492.4166666666667
118352,11,189.25,134.75,0.0892429135497218,2.090909090909091,471.0
110682,26,-150.64973345876479,119.24913766070874,0.5649487342787537,4.769230769230769,418.0769230769231
180023,14,269.3289994347092,115.04465799886935,0.5994844812080227,5.428571428571429,893.8571428571429
110714,15,-219.81372549019622,111.78104575163401,0.7111054633072483,4.2,249.66666666666666
114650,35,38.19322375041918,95.03933243877896,0.21538280613865135,5.257142857142857,537.8285714285714
110581,57,-14.041620087711749,86.25754579069567,0.16942946196008013,3.7719298245614037,311.3157894736842
180094,25,427.31240506329095,74.63987341772156,0.10177009739786425,3.2,666.16
108961,15,108.21764220939818,69.97568013190437,0.4676940393311956,3.466666666666667,350.8
118363,17,-20.524401913875522,67.4870813397129,0.27092196027729576,4.9411764705882355,312.94117647058823
181237,24,213.84623675229017,66.43165079935336,0.20751336892613503,3.5416666666666665,449.125
181906,17,232.59294117647062,64.92,0.09987636060184502,3.0,427.3529411764706
180073,25,475.389894859813,64.38639018691592,0.09340265164259665,3.96,730.36
141420,10,142.57142857142858,63.357142857142854,0.035435667729153075,2.6,307.3
111356,52,89.5972923605888,62.73847641560117,0.12566333650631045,3.019230769230769,279.0192307692308
110813,15,163.42696629213475,61.36235955056183,0.1328550291023003,2.1333333333333333,294.3333333333333
140956,27,240.65405831363285,56.61347517730496,0.08640319062235102,5.333333333333333,542.5925925925926
180035,11,365.375,54.708333333333336,0.03661790552281374,1.9090909090909092,469.8181818181818
105167,29,237.64066702528243,52.471221086605695,0.06017919474563338,3.689655172413793,431.2413793103448
141997,14,475.2916666666667,51.466145833333336,0.056636469756008445,2.2857142857142856,592.9285714285714
141249,18,209.3438749545619,50.385677935296265,0.16798791634225663,6.166666666666667,520.0555555555555
118364,36,293.8027090915913,48.73982214551049,0.16820524151926208,5.861111111111111,579.4722222222222
141313,92,260.3932831345371,45.01123065646291,0.13193787490874953,4.663043478260869,470.2826086956522
110583,13,23.366013071895424,44.09640522875817,0.40376287018312607,3.3846153846153846,172.6153846153846
180024,88,292.4773306363729,42.74192283870765,0.21662202621673543,4.579545454545454,488.21590909090907
110464,11,4.171821305841775,42.46219931271481,0.8948579772578807,4.545454545454546,197.1818181818182
111110,40,95.78173933991809,41.76752589737413,0.06991498440205379,2.825,213.775
115209,30,276.35338836807995,41.346439065342096,0.11709231419531774,6.1,528.5666666666667
105744,21,335.2456140350877,40.797368421052624,0.0372903698546756,2.857142857142857,451.8095238095238
141035,121,310.8107804243426,39.20361060696103,0.039689247441638265,4.338842975206612,480.90909090909093
181235,124,322.76524738421426,37.81684182298192,0.05698161483471709,4.266129032258065,484.0967741935484
118442,22,367.5501900290633,36.29599821149116,0.08392799533707451,4.590909090909091,534.1818181818181
108771,40,317.0392591247504,36.28745233339385,0.06489858453775199,4.125,466.725
103149,49,132.0221941537351,35.781847708408534,0.09546273277522543,2.3469387755102042,216.0
118289,23,171.62686567164172,35.73880597014927,0.012988066435380752,3.5652173913043477,299.04347826086956
106865,24,144.14058679706602,35.5721271393643,0.15200143024821833,3.25,259.75
106326,14,337.17725258493357,34.2503692762186,0.08501116415496779,3.5714285714285716,459.5
111120,75,300.8013990355462,33.770472986630466,0.07386754716960275,4.653333333333333,457.94666666666666
115821,33,321.26230751283254,30.648098460102656,0.0976732406200056,4.878787878787879,470.7878787878788
180054,57,426.7990181923188,29.634276638752542,0.004500452432697366,2.280701754385965,494.3859649122807
110030,27,303.44654088050316,29.599056603773583,0.017061973129216534,2.2222222222222223,369.22222222222223
115775,83,240.23546993158075,29.23728483975514,0.05525390370738914,5.963855421686747,414.6024096385542
118169,20,311.772155601053,27.99561275226673,0.034184130322862605,5.05,453.15
